water_depth (m),weight (t),installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure (m),distance_to_coast (km),risk_to_other_users-complete,risk_to_other_users-partial,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete (GJ),energy_consumption-partial (GJ),emissions-complete (t),emissions-partial (t),impacts_of_option-complete,impacts_of_option-partial,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-complete,total_removal_cost-partial
99,21953,31,1,8,26,114.682,281,0,6.340444087982176e-10,0.026,0.011,990148,448480,65827,34498,0.005,1,0.499,0.153,0.026,0.012,0.089,0.062,1.0,0.63
99,12804,32,1,8,28,117.898,133,0,6.1567425727844236e-09,0.106,0.124,882635,477891,44450,35651,0.0,1,0.499,0.151,0.0,0.001,0.013,0.004,0.992,0.986
99,11984,42,1,8,5,115.836,125,1,1.0281801223754882e-11,0.32,0.16,1034543,851583,77300,58328,0.0,1,0.0,1.0,0.14,0.615,0.154,0.054,0.985,0.979
101,10432,31,1,4,5,140.691,281,1,9.191930294036863e-10,0.044,0.069,366552,437273,29891,31466,0.0,1,0.002,0.957,0.448,0.341,0.17,0.127,1.0,0.544
99,27255,45,1,8,5,114.015,277,1,0.0,0.32,0.159,1178259,895151,91961,63988,0.0,1,0.0,1.0,0.61,0.896,0.697,0.482,1.0,0.448
99,10498,31,1,4,11,115.179,168,0,4.3869018554687494e-11,0.199,0.133,499004,446567,31277,31398,0.0,1,0.019,0.179,0.003,0.016,0.138,0.016,1.0,0.996
105,17765,38,1,8,5,116.277,281,1,6.854534149169922e-13,0.319,0.158,1096053,870349,89106,62157,0.0,1,0.0,1.0,0.992,0.937,0.635,0.605,1.0,0.419
155,26030,45,3,8,31,166.0,120,0,2.2965124130249022e-05,0.083,0.16,300867,670634,24873,61336,0.001,0,0.5,1.0,0.1,0.006,0.531,0.774,0.53,0.464
130,12178,44,1,8,27,125.999,122,0,2.285575044155121e-05,0.027,0.013,420172,492883,26950,31591,0.502,1,0.283,0.995,0.925,0.905,0.891,0.883,0.563,0.996
99,12724,32,1,8,5,114.215,281,1,2.536177635192871e-11,0.297,0.076,1134254,729873,84991,48540,0.0,1,0.0,1.0,0.984,0.937,0.454,0.151,1.0,0.636
101,12450,31,1,8,5,123.871,281,1,6.854534149169922e-13,0.038,0.017,462832,439288,40572,31795,0.0,1,0.03,0.645,0.432,0.085,0.207,0.276,1.0,0.411
151,25603,45,1,8,31,148.772,245,0,2.2967756271362306e-05,0.025,0.01,351319,552678,38029,32895,1.0,1,0.494,1.0,1.0,0.938,0.997,0.999,0.983,0.894
155,13961,45,1,8,26,165.498,163,0,2.2994979739189148e-05,0.025,0.01,300000,447797,24590,31126,0.999,1,0.062,1.0,1.0,0.939,0.998,0.999,0.614,0.905
99,19273,33,1,8,5,114.018,281,1,0.0,0.305,0.093,1119192,813700,85151,56657,0.0,1,0.0,0.999,0.753,0.907,0.478,0.298,1.0,0.474
99,22274,31,1,8,30,114.202,281,0,0.0,0.028,0.02,1068742,442895,79110,37031,0.0,1,0.5,0.15,0.0,0.0,0.003,0.001,1.0,0.529
149,26468,44,1,8,23,141.706,279,0,3.130143582820893e-07,0.085,0.018,919356,802035,88009,57061,0.593,1,0.039,1.0,0.997,0.904,0.915,0.982,1.0,0.453
137,14626,42,1,8,5,132.709,212,1,5.497336387634278e-10,0.317,0.16,1108376,852304,86474,61917,0.0,1,0.0,1.0,0.873,0.911,0.187,0.588,0.958,0.453
114,10152,31,1,4,5,141.958,281,1,1.5053242444992064e-08,0.029,0.019,317566,438247,25374,31114,0.0,1,0.0,1.0,1.0,0.94,0.741,0.777,0.999,0.445
99,26569,32,1,8,6,114.001,281,1,0.0,0.303,0.052,1178535,875163,91842,63386,0.0,1,0.0,0.917,0.124,0.556,0.226,0.03,1.0,0.952
155,25769,45,3,8,29,165.998,124,0,2.236417067050934e-05,0.03,0.129,300083,484505,25070,48707,0.355,0,0.5,1.0,0.761,0.042,0.853,0.902,0.622,0.419
153,13487,35,2,4,11,165.293,242,0,2.8942584991455082e-08,0.052,0.132,339040,450226,29425,34731,0.0,1,0.465,0.869,0.052,0.007,0.092,0.161,0.994,0.423
103,23997,33,2,8,30,135.773,242,0,1.6255527734756472e-08,0.03,0.091,531704,475150,42498,42179,0.001,1,0.5,0.154,0.003,0.0,0.02,0.025,0.999,0.606
128,16311,41,1,8,6,133.216,273,1,3.346109390258789e-07,0.11,0.049,649485,716234,71215,46449,0.007,1,0.0,1.0,0.998,0.935,0.734,0.914,0.992,0.524
99,20545,31,1,8,7,114.34,281,1,1.3709068298339844e-12,0.208,0.035,1117709,679616,87905,53853,0.0,1,0.0,0.923,0.533,0.415,0.312,0.184,1.0,0.431
120,20694,36,1,8,18,139.609,280,0,1.0664839446544647e-06,0.033,0.017,635672,516417,57651,38176,0.432,1,0.42,0.907,0.823,0.394,0.589,0.623,0.999,0.567
111,12401,42,1,8,30,128.982,123,0,2.1524232506752013e-05,0.033,0.021,407001,497854,27236,31732,0.047,1,0.476,0.885,0.771,0.65,0.699,0.599,0.648,0.996
99,21315,31,1,8,31,114.187,201,0,1.4394521713256835e-11,0.157,0.088,1085214,523902,74310,43508,0.0,1,0.499,0.15,0.0,0.0,0.018,0.004,1.0,0.901
105,22848,44,1,8,31,124.318,212,0,2.272157430648804e-05,0.025,0.01,395848,476692,31673,31892,0.994,1,0.5,0.94,0.979,0.856,0.967,0.956,0.986,0.993
99,26918,34,1,8,25,114.278,280,0,6.854534149169922e-13,0.205,0.056,1173826,794330,91341,62757,0.0,1,0.463,0.16,0.003,0.002,0.063,0.035,1.0,0.495
155,11189,44,3,8,7,165.581,125,0,2.136711835861206e-05,0.055,0.13,321971,493799,26659,32776,0.005,1,0.006,1.0,0.855,0.726,0.688,0.851,0.543,0.727
148,11241,43,3,8,25,150.851,120,0,1.9635931730270385e-05,0.239,0.153,610417,558731,30485,36656,0.0,0,0.233,0.957,0.011,0.042,0.088,0.161,0.531,0.993
155,27558,45,3,8,31,164.963,213,0,2.2334856569767e-05,0.027,0.01,359668,694467,40901,52902,1.0,1,0.5,1.0,1.0,0.906,0.998,0.999,0.996,0.452
144,26703,45,2,8,31,162.849,216,0,1.850953710079193e-05,0.025,0.014,331324,522813,31342,39934,0.92,1,0.5,0.968,0.916,0.168,0.837,0.871,0.991,0.737
101,22354,33,1,8,5,114.777,281,1,0.0,0.276,0.072,1127747,824523,90595,61392,0.0,1,0.0,1.0,0.997,0.93,0.231,0.716,1.0,0.41
99,22994,35,1,8,5,114.133,281,1,0.0,0.315,0.138,1163441,857857,91396,62863,0.0,1,0.0,0.993,0.448,0.666,0.363,0.156,1.0,0.622
99,23656,31,1,8,28,115.047,281,0,1.401066780090332e-09,0.031,0.011,1009672,484095,76464,38828,0.019,1,0.499,0.154,0.029,0.014,0.158,0.141,1.0,0.588
155,10715,45,3,8,20,163.168,120,0,2.2984584152698515e-05,0.078,0.145,404924,620444,27985,33758,0.002,0,0.034,1.0,0.271,0.535,0.348,0.454,0.53,0.993
100,21962,37,1,8,31,115.002,190,0,1.5670685172080993e-06,0.026,0.012,734202,539341,47054,33248,0.085,1,0.5,0.179,0.149,0.147,0.514,0.273,0.998,0.992
101,21149,39,1,8,10,115.34,144,1,7.354915142059325e-10,0.316,0.153,1097382,826648,87147,61694,0.0,1,0.003,0.836,0.028,0.08,0.168,0.057,0.99,0.891
116,14754,35,1,8,14,129.553,278,0,3.3567263782024385e-06,0.026,0.011,391518,445855,30405,31433,0.467,1,0.292,0.957,0.958,0.789,0.873,0.83,0.998,0.778
99,26884,44,1,8,5,114.004,279,1,0.0,0.32,0.159,1179771,895206,91972,63983,0.0,1,0.0,1.0,0.973,0.939,0.553,0.587,1.0,0.49
155,14443,45,1,8,31,165.722,131,0,2.299999725818634e-05,0.025,0.01,297872,442052,24300,31067,1.0,1,0.229,1.0,1.0,0.94,1.0,1.0,0.541,0.994
115,15638,32,1,4,7,122.702,281,1,2.7418136596679688e-12,0.209,0.055,705347,493424,59674,36646,0.0,1,0.001,0.977,0.742,0.403,0.317,0.48,1.0,0.413
99,25472,36,1,8,12,114.384,281,1,6.854534149169922e-13,0.296,0.064,1170917,846996,91324,62628,0.0,1,0.002,0.901,0.179,0.31,0.148,0.312,1.0,0.435
155,23590,45,3,8,27,165.954,140,0,2.292789030075073e-05,0.028,0.025,310440,565738,29234,37753,0.986,1,0.486,1.0,0.996,0.792,0.984,0.994,0.648,0.46
99,26114,42,1,8,5,114.069,281,1,0.0,0.32,0.159,1176678,894204,91916,63961,0.0,1,0.0,1.0,0.997,0.939,0.622,0.649,1.0,0.423
107,26237,42,1,8,31,124.903,266,0,6.727662205696106e-06,0.026,0.011,474483,500619,41447,35293,0.939,1,0.5,0.579,0.74,0.323,0.882,0.876,1.0,0.904
155,16722,41,3,8,23,165.784,120,0,2.0734451711177825e-06,0.222,0.16,516665,515607,47590,57268,0.0,0,0.498,0.863,0.001,0.0,0.012,0.017,0.541,0.534
114,14292,41,1,8,6,138.05,131,1,7.231533527374266e-10,0.315,0.16,889690,673111,63406,54838,0.0,1,0.001,0.979,0.025,0.048,0.106,0.08,0.978,0.787
99,27074,44,1,8,5,114.001,281,1,0.0,0.32,0.159,1178166,895233,91968,63988,0.0,1,0.0,1.0,0.998,0.94,0.851,0.854,1.0,0.411
155,27359,45,3,8,31,165.71,121,0,2.29912645816803e-05,0.025,0.012,302870,600570,25628,42400,0.998,1,0.5,1.0,0.995,0.766,0.992,0.993,0.653,0.76
99,27121,43,1,8,5,114.001,281,1,0.0,0.32,0.159,1178672,895407,91987,63996,0.0,1,0.0,1.0,1.0,0.94,0.914,0.816,1.0,0.41
140,16853,40,3,8,29,164.256,120,0,1.0359312295913696e-06,0.126,0.159,558023,541348,38038,53066,0.0,0,0.5,0.325,0.0,0.0,0.005,0.004,0.61,0.779
99,18481,33,1,8,5,114.786,281,1,1.850724220275879e-11,0.296,0.121,1124196,814321,89075,60603,0.0,1,0.0,1.0,0.974,0.925,0.417,0.258,1.0,0.537
146,10557,31,1,4,5,161.279,281,1,6.507694721221924e-09,0.028,0.014,313018,445268,28527,31229,0.003,1,0.0,1.0,1.0,0.94,0.853,0.97,1.0,0.412
155,10881,45,3,8,13,165.822,120,0,2.2951379418373108e-05,0.031,0.11,308334,456899,24862,31526,0.046,1,0.06,1.0,0.91,0.698,0.769,0.816,0.531,0.919
100,23230,32,1,8,30,115.678,197,0,8.910894393920899e-12,0.144,0.08,1075152,572255,81518,49414,0.0,1,0.499,0.15,0.0,0.0,0.025,0.007,1.0,0.677
135,10298,42,3,8,14,158.556,120,0,2.2347331821918488e-05,0.054,0.141,354324,467479,25561,31557,0.0,1,0.299,0.988,0.08,0.243,0.171,0.083,0.531,0.994
99,11365,31,1,8,7,115.383,281,0,0.0,0.06,0.072,473627,440256,32046,31615,0.0,1,0.081,0.163,0.008,0.011,0.061,0.027,1.0,0.738
145,12566,35,1,4,8,156.766,264,0,2.109482884407044e-08,0.161,0.133,495870,474747,37151,35015,0.0,1,0.049,0.952,0.211,0.091,0.269,0.36,0.995,0.432
100,25033,44,1,8,5,114.123,281,1,0.0,0.32,0.159,1176585,893524,91831,63895,0.0,1,0.0,1.0,0.979,0.936,0.633,0.724,1.0,0.418
101,21679,40,1,8,9,115.075,222,1,4.112720489501953e-12,0.311,0.153,1048611,758811,77961,57104,0.0,1,0.0,0.895,0.054,0.159,0.359,0.156,1.0,0.538
151,23694,45,3,8,31,162.387,129,0,2.1491752982139583e-05,0.03,0.043,346780,509150,28331,37883,0.498,1,0.5,0.967,0.827,0.273,0.748,0.806,0.716,0.773
106,24629,44,1,8,11,115.07,233,1,1.0929623246192933e-07,0.232,0.035,1135278,877151,90580,61368,0.001,1,0.0,1.0,0.992,0.935,0.874,0.888,0.995,0.881
128,11837,45,3,8,31,144.493,120,0,2.2997897028923035e-05,0.026,0.019,309583,536030,24605,31286,0.142,1,0.5,0.995,0.857,0.856,0.85,0.794,0.53,1.0
120,10309,32,1,4,5,144.24,280,1,8.748647570610046e-08,0.038,0.033,374198,442252,27243,31197,0.001,1,0.0,0.999,0.983,0.898,0.591,0.573,0.997,0.524
108,16261,45,1,8,24,114.369,120,0,7.496029436588288e-07,0.296,0.113,1135206,810841,83306,51147,0.0,1,0.004,0.994,0.078,0.509,0.363,0.35,0.597,0.997
143,27308,45,1,8,31,127.978,189,0,2.225782942771912e-05,0.025,0.01,426578,720281,52863,36886,1.0,1,0.5,0.998,0.999,0.93,0.998,0.998,0.998,0.984
119,11796,39,2,8,12,148.311,120,0,3.761357069015503e-08,0.3,0.159,722687,571730,48250,44197,0.0,0,0.044,0.799,0.005,0.009,0.069,0.024,0.709,0.959
104,23982,43,1,8,5,114.262,278,1,4.112720489501953e-12,0.32,0.157,1176681,893594,91912,63833,0.0,1,0.0,1.0,0.996,0.939,0.485,0.712,1.0,0.475
135,13354,31,1,4,7,160.652,281,0,4.696521162986755e-08,0.029,0.016,322065,435181,27214,31347,0.059,1,0.283,0.967,0.945,0.316,0.66,0.712,1.0,0.416
99,22057,34,1,8,5,114.012,282,1,0.0,0.32,0.16,1172626,894935,91934,63971,0.0,1,0.0,1.0,1.0,0.94,0.647,0.751,1.0,0.41
155,23929,45,3,8,31,165.928,120,0,2.2990400910377503e-05,0.058,0.122,329930,726078,28206,48819,0.382,0,0.476,1.0,0.892,0.587,0.941,0.982,0.531,0.857
104,12948,33,1,8,15,128.279,215,0,2.444368004798889e-07,0.125,0.101,718090,489686,50870,36527,0.001,1,0.422,0.325,0.024,0.031,0.099,0.074,0.973,0.881
100,20841,36,1,8,16,115.353,211,0,8.424222469329833e-10,0.288,0.14,1064530,675008,78503,53977,0.0,1,0.068,0.293,0.013,0.033,0.144,0.066,0.999,0.836
99,26147,31,1,8,7,114.15,281,1,0.0,0.234,0.02,1138418,788092,91127,61582,0.0,1,0.004,0.769,0.231,0.154,0.317,0.269,1.0,0.412
99,20846,38,1,8,5,114.324,281,1,0.0,0.32,0.159,1128707,884303,90373,63354,0.0,1,0.0,1.0,0.998,0.94,0.757,0.768,1.0,0.419
103,10887,33,1,4,5,125.431,201,1,1.4394521713256835e-11,0.312,0.157,527588,542644,41561,36206,0.0,1,0.0,0.979,0.047,0.159,0.259,0.082,0.998,0.859
155,25536,45,2,8,24,165.876,272,0,1.932770937681198e-05,0.026,0.013,312395,462900,28957,36806,0.997,1,0.493,1.0,0.998,0.694,0.975,0.987,0.991,0.416
100,20288,31,1,8,6,115.545,281,1,1.3709068298339844e-12,0.103,0.031,1010923,581316,74423,49136,0.0,1,0.001,0.945,0.638,0.431,0.242,0.26,1.0,0.414
99,21384,33,1,8,27,114.003,220,0,3.427267074584961e-11,0.279,0.032,1174224,737011,90139,51413,0.0,1,0.13,0.156,0.002,0.034,0.104,0.031,1.0,0.993
99,12564,33,1,8,5,114.119,258,1,6.854534149169922e-12,0.317,0.136,1002276,720671,76228,47930,0.0,1,0.0,0.997,0.214,0.794,0.417,0.131,1.0,0.907
155,27058,45,2,8,30,163.498,256,0,8.717711687088012e-06,0.036,0.018,523604,631226,61848,56176,0.971,1,0.499,0.995,0.93,0.25,0.888,0.958,0.993,0.42
99,22426,43,1,8,5,114.029,256,1,1.1652708053588868e-11,0.319,0.151,1177092,891912,91780,63722,0.0,1,0.0,1.0,0.739,0.926,0.285,0.285,1.0,0.869
125,18920,32,1,8,5,133.725,281,1,0.0,0.179,0.068,913357,589353,80311,50336,0.0,1,0.0,1.0,0.987,0.786,0.37,0.839,1.0,0.41
107,13893,33,1,8,20,136.724,222,0,1.333296000957489e-07,0.14,0.091,593478,473773,42749,36385,0.001,1,0.437,0.307,0.042,0.039,0.134,0.1,0.985,0.759
148,27067,41,3,8,30,162.917,237,0,5.1020374596118924e-06,0.03,0.027,512153,566753,50032,56343,0.851,1,0.5,0.87,0.699,0.034,0.532,0.53,0.994,0.43
152,17860,38,1,8,9,165.626,280,0,4.021029442548752e-06,0.031,0.035,325934,448387,32441,35431,0.701,1,0.414,0.999,0.979,0.342,0.792,0.833,0.996,0.418
141,13951,40,1,8,6,138.246,271,1,5.539210736751557e-07,0.065,0.041,522054,575167,47712,35825,0.008,1,0.0,1.0,1.0,0.939,0.878,0.943,0.989,0.509
149,10070,33,1,4,5,164.13,125,0,1.865715909004212e-05,0.044,0.143,308521,436059,24441,31096,0.0,1,0.0,1.0,0.775,0.781,0.276,0.263,0.537,0.947
150,11682,44,3,8,21,165.658,120,0,1.3223530113697051e-05,0.112,0.159,345140,492386,26621,41875,0.0,0,0.499,0.914,0.002,0.001,0.019,0.022,0.533,0.9
155,20459,45,3,8,31,161.059,120,0,2.239265263080597e-05,0.111,0.111,426327,589502,29948,41521,0.01,1,0.482,1.0,0.312,0.365,0.766,0.775,0.532,0.968
144,14284,45,2,8,31,130.18,120,0,2.2968417048454284e-05,0.029,0.012,367755,571055,26652,31528,0.606,1,0.439,0.999,0.97,0.932,0.98,0.988,0.536,0.999
112,23424,43,1,8,30,154.984,248,0,6.250062942504883e-06,0.025,0.014,319575,465020,26001,32558,0.299,1,0.5,0.727,0.749,0.107,0.701,0.661,0.998,0.767
116,12772,36,1,8,5,125.232,281,1,1.9255757331848145e-08,0.075,0.025,565068,615958,53640,35558,0.001,1,0.0,1.0,1.0,0.94,0.847,0.914,0.999,0.487
155,10657,44,3,8,11,165.989,120,0,1.2015806436538696e-05,0.295,0.16,321612,468456,25554,46386,0.0,0,0.427,0.998,0.0,0.0,0.003,0.006,0.53,0.661
108,10983,40,1,8,5,116.045,174,1,1.3709068298339844e-11,0.32,0.16,1126528,875030,87254,59954,0.0,1,0.0,1.0,0.995,0.94,0.289,0.425,0.965,0.558
155,26759,45,2,8,31,165.9,222,0,2.2998760700225832e-05,0.025,0.01,299033,477418,24820,31496,1.0,1,0.492,1.0,1.0,0.94,1.0,1.0,0.91,0.583
155,27624,45,3,8,31,165.999,232,0,2.2999306321144104e-05,0.025,0.01,297740,501024,24445,40929,1.0,1,0.5,1.0,1.0,0.926,1.0,1.0,0.99,0.413
