platform,water_depth,weight,installation_date,type_of_production (1 oil and gas; 2 oil; 3 gas),number_of_legs,number_of_piles,height_of_jacket_or_sub-structure,distance_to_coast,risk_to_other_users-complete ,risk_to_personnel-complete,risk_to_personnel-partial,energy_consumption-complete,energy_consumption-partial,emissions-complete,emissions-partial,impacts_of_option-complete,technical_feasibility_or_challenge-complete,technical_feasibility_or_challenge-partial,commercial_impact_on_fisheries-complete,commercial_impact_on_fisheries-partial,wider_community_impact-complete,wider_community_impact-partial,total_removal_cost-partial
25.0,102.0,18585.0,1985.0,3.0,9.0,20.0,122.68913426090872,232.0,0.0,0.3787146849024504,0.3520888942751723,733084.0,511763.0,59590.0,41168.0,0.4616602532667025,0.6337706077653689,0.11829850423506941,2.0,1.0195828352767315,0.0,0.0,0.6193771493509714
27.0,145.0,17502.0,1981.0,2.0,9.0,19.0,152.0,132.0,0.0,0.11896371744283687,0.2944598004387292,520000.0,567999.0,41999.0,44002.0,0.22597048557250532,0.5320142169837846,0.5896543068309997,2.0,2.0,3.0,0.0,0.6393682263177044
31.0,116.0,10052.0,1992.0,0.0,6.0,4.0,137.0,283.0,2.0,0.2600628526740292,0.014883656584374336,469821.0,433179.0,37162.0,32193.0,0.2534146853672467,0.36141719414067663,0.927702433894509,0.8705048856940779,0.6957551153032278,0.7287732357960444,0.7140582129317584,0.2409056244505055
2.0,101.0,21998.0,1986.0,1.0,6.0,10.0,114.0,186.0,3.0,0.45171059497353633,-0.03572559180995649,1110098.0,817001.0,87002.0,58499.0,0.5755272274834393,1.0,0.0,0.760625875749094,0.8632085505576561,0.4141242956167656,0.46220713252938816,0.6934482838707401
4.0,110.0,30362.0,1984.0,2.0,8.0,8.0,123.0,209.0,1.0,0.23542834429487153,0.004391628982386514,1180502.0,895500.0,91998.0,63998.0,0.5988073742953661,2.0,2.0,0.9207751875777107,0.8291284358379281,0.9199239145059992,0.32467628744776855,0.7387135026299
21.0,143.0,15562.0,1977.0,4.0,9.0,28.0,146.0,122.0,0.0,0.15104087998504384,-0.05691099371358415,297654.0,530149.0,24275.0,31062.0,0.6765987409772108,0.43646035384349224,3.0,2.0,1.4471232004261003,3.0,2.0,0.32737134575391913
26.0,156.0,27647.0,1979.0,3.0,9.0,33.0,165.0,238.0,0.0,0.05148797537403965,0.0011949594301858407,487751.0,570818.0,40415.0,45268.0,0.7314529151820935,0.6332730628334106,0.0,0.0,0.4705520349839023,2.0,1.0,0.34712639676694074
27.0,105.0,18585.0,1984.0,5.0,7.0,19.0,122.44150334524625,229.0,0.0,0.3502598083998042,0.03262757677570649,733082.0,511766.0,59590.0,41172.0,0.7529525723157219,0.6343443152110491,-0.15834419674224245,3.0,1.1559306284857869,2.0,0.0,0.8218287806577276
27.0,146.0,17499.0,1983.0,1.0,7.0,20.0,156.0,128.0,2.0,0.05194594332484681,0.24010934422579194,520002.0,568002.0,41999.0,43998.0,0.5474838182255819,0.29285141425105904,0.6951703127567025,0.0,0.0,1.0,0.0,0.2704725800987871
27.0,118.0,10052.0,1992.0,2.0,6.0,3.0,137.0,281.0,3.0,-0.05702330960915791,0.0013402152157614283,469822.0,433180.0,37164.0,32190.0,0.46048942944371407,0.20629266507451213,0.7521372270462959,0.7462735492646556,0.6476048232004847,0.616626219581266,0.8506295467875403,0.5515289170297454
0.0,101.0,21998.0,1990.0,0.0,7.0,7.0,112.0,187.0,0.0,0.43492517950611465,0.37507124955466714,1110100.0,817001.0,86999.0,58502.0,0.5154013678986433,0.0,0.0,0.9667181762855279,0.5633075822612954,0.5509333337567704,0.3160996419262474,0.7608024381282154
0.0,110.0,30366.0,1984.0,1.0,9.0,7.0,123.0,209.0,1.0,0.4823637818442035,0.04187863929333627,1180502.0,895499.0,92002.0,64000.0,0.7286734011024738,0.0,2.0,0.926413490269473,0.916657444654259,0.7919880565464872,0.5598409715108276,0.315133811726562
20.0,143.0,15561.0,1976.0,2.0,9.0,26.0,149.0,120.0,1.0,-0.034186151279791854,-0.017757007785706172,297656.0,530146.0,24276.0,31064.0,0.5540283980103979,0.27339876857273737,1.0,2.0,1.0170595224618268,3.0,1.0,0.44535577984297786
24.0,157.0,27649.0,1978.0,4.0,6.0,33.0,164.0,238.0,0.0,0.3285518331070535,-0.016759634087989434,487752.0,570818.0,40414.0,45268.0,0.7817297739622772,0.40100468821860613,1.0,0.0,0.596034041321404,2.0,0.0,0.44735888179625843
24.0,101.0,18584.0,1985.0,5.0,10.0,22.0,122.31403714403906,228.0,0.0,-0.17782148148548318,0.07712467764445922,733084.0,511764.0,59588.0,41172.0,0.40036824405739857,0.4376655038899005,0.16336046388412856,0.0,1.3735202635503354,1.0,0.0,0.48713996215407174
26.0,143.0,17502.0,1985.0,3.0,9.0,21.0,155.0,128.0,0.0,0.20778052428302346,0.46278126039406964,519998.0,568002.0,41999.0,44001.0,0.592553405863752,0.31943732609708364,1.0085130448830797,2.0,0.0,0.0,3.0,0.22414301573731366
31.0,116.0,10054.0,1991.0,0.0,6.0,6.0,134.0,284.0,2.0,0.3080004363763047,-0.2964951734288859,469821.0,433180.0,37162.0,32189.0,0.3487908507601106,0.15317848298827055,1.1324525512435706,0.9708672480361397,0.6556355955703952,0.574404816763993,0.8763695850725608,0.6698880143853158
0.0,98.0,21999.0,1990.0,2.0,10.0,7.0,116.0,187.0,0.0,0.39501670493857016,0.25759409885203643,1110102.0,817000.0,87001.0,58498.0,0.29260450908314206,0.0,0.0,0.7699320184952374,0.5236460566710581,0.7952677419715339,0.09170305392336142,0.23872055519328073
1.0,110.0,30362.0,1982.0,2.0,7.0,10.0,123.0,205.0,0.0,0.6390300320904632,0.3833576131788073,1180500.0,895501.0,92001.0,63999.0,0.7959679621501627,1.0,1.0,0.7521230816451941,0.7344898515978437,0.7929989417966768,0.6559270072533774,0.6179481227775709
20.0,139.0,15561.0,1977.0,0.0,10.0,27.0,146.0,122.0,0.0,0.02165724598740583,0.10391850697766798,297655.0,530147.0,24276.0,31066.0,0.36719567953310434,0.03310349743445695,1.0,3.0,1.0735323478639058,2.0,0.0,0.5757311470865459
25.0,158.0,27646.0,1982.0,2.0,6.0,32.0,166.0,242.0,0.0,0.213710226616652,0.19390416100280902,487752.0,570818.0,40418.0,45266.0,0.7426872861034114,0.5816232467503183,2.0,0.0,0.9524119958319124,0.0,0.0,0.750315061478041
24.0,104.0,18583.0,1981.0,4.0,10.0,21.0,122.351015331544,228.0,0.0,0.07776799134083212,0.3639041488780825,733084.0,511766.0,59590.0,41169.0,0.3313387120482427,0.5248949291030234,0.013332102872464613,0.0,0.9003380987184634,3.0,0.0,0.7184304858831108
25.0,143.0,17501.0,1984.0,5.0,10.0,18.0,155.0,128.0,0.0,-0.18030515774289524,0.11545570872394208,520000.0,568002.0,42000.0,44001.0,0.7193771796183162,0.326879315849176,0.5923742621819506,0.0,1.0,1.0,1.0,0.643539866312093
29.0,114.0,10054.0,1995.0,0.0,5.0,4.0,138.0,283.0,3.0,-0.02030697274084778,0.0594852424611486,469824.0,433179.0,37163.0,32189.0,0.5596221693510485,0.23094152741289214,0.7049776666249304,0.7603414153728616,0.5266471084473968,1.0361128834780975,0.6706066609105749,0.7247423790691728
3.0,97.0,22001.0,1988.0,1.0,10.0,7.0,114.0,187.0,3.0,0.18042190879166867,0.058087841141556074,1110099.0,817000.0,87002.0,58498.0,0.5991038405883218,2.0,3.0,0.8040938114112645,0.7454790041405716,0.47025006778311407,-0.06556260763315902,0.4129400160257527
2.0,113.0,30362.0,1984.0,1.0,10.0,8.0,123.0,209.0,0.0,0.3271565486566043,0.04289587808315508,1180499.0,895498.0,92000.0,63999.0,0.894343541849064,0.0,3.0,0.5860268264316606,0.9216294245256158,0.4841829421762458,0.432838890261609,0.43739391628398455
20.0,140.0,15563.0,1976.0,0.0,6.0,28.0,149.0,120.0,2.0,-0.02169772599251589,-0.09427053905254135,297655.0,530149.0,24276.0,31066.0,0.6666866232280799,0.3143794540671042,1.0,2.0,0.7984176979395379,2.0,1.0,0.20522449594760184
24.0,155.0,27649.0,1981.0,1.0,10.0,31.0,168.0,240.0,0.0,0.13288347558532096,0.25640994597012395,487750.0,570820.0,40415.0,45268.0,0.45629391711902756,0.5149153790763439,1.0,0.0,0.17950042749216438,0.0,0.0,1.0211623760819835
24.0,105.0,18586.0,1985.0,3.0,8.0,21.0,122.81166334322467,230.0,2.0,0.21516888470383286,-0.20799943828427098,733082.0,511764.0,59586.0,41172.0,0.6320737605816811,0.49407339078455353,-0.07605851694719715,3.0,0.4694578814422221,0.0,1.0,0.8669279677451659
28.0,144.0,17499.0,1983.0,2.0,8.0,22.0,153.0,131.0,1.0,0.49173001574011455,-0.19075536219823208,520000.0,568001.0,42000.0,43999.0,0.23110358727828678,0.7359982901355289,0.7243461461573925,2.0,2.0,2.0,0.0,0.6784151341908432
29.0,117.0,10054.0,1991.0,1.0,4.0,5.0,138.0,283.0,1.0,-0.14552106193342884,-0.03280666639893902,469823.0,433178.0,37160.0,32192.0,0.5590679925747224,0.17643757057474474,0.6249009504296374,0.8159381136565989,0.9997667135976533,0.5186389785821502,0.5389016210696662,0.504943621754893
2.0,101.0,22002.0,1989.0,3.0,6.0,7.0,114.0,188.0,0.0,0.6693014859108819,-0.2686055748184675,1110099.0,816999.0,87001.0,58499.0,0.5545637149320581,0.0,1.0,0.9046826050726212,1.099482018717373,0.6315639921617249,0.4852637592696896,0.4265618602347322
0.0,110.0,30364.0,1984.0,2.0,6.0,10.0,121.0,205.0,0.0,0.5959553899340272,0.08014406909625625,1180502.0,895498.0,91998.0,63998.0,0.30355947583726656,0.0,0.0,0.6202393383094319,0.761633290991507,0.5870356840854043,0.7328490581072027,0.33971954646968194
22.0,141.0,15563.0,1978.0,2.0,10.0,28.0,146.0,122.0,0.0,-0.03354197658079865,0.05574909632305899,297656.0,530148.0,24275.0,31066.0,0.532314221408315,0.19165404000392022,3.0,1.0,1.3978325098563127,2.0,0.0,0.3786816237602787
25.0,157.0,27646.0,1978.0,2.0,7.0,32.0,167.0,239.0,1.0,0.25472500908493867,0.18869443092611723,487748.0,570819.0,40415.0,45266.0,0.5848212273437259,0.4579923288913916,0.0,3.0,0.7968493012406481,1.0,3.0,0.6334872283342802
26.0,104.0,18583.0,1984.0,4.0,9.0,22.0,122.53347094257826,232.0,0.0,0.2749504458353704,-0.42881164943497224,733080.0,511767.0,59590.0,41171.0,1.0398427424828038,0.14926583209509914,-0.25364674704036005,0.0,1.3182398653859249,1.0,2.0,0.5354771192318287
29.0,145.0,17498.0,1985.0,4.0,6.0,19.0,153.0,132.0,0.0,0.3757500048656315,0.026032157251508023,520001.0,568000.0,42001.0,43999.0,0.8242794890712241,0.777441397045392,0.7589789797050719,0.0,0.0,1.0,1.0,0.4618933649283108
27.0,116.0,10054.0,1992.0,1.0,2.0,4.0,134.0,283.0,1.0,0.43361110417374865,0.3513821678867063,469823.0,433180.0,37163.0,32189.0,0.7207178024943036,0.42339949424357415,0.9174855194169028,0.7403039824435609,0.9297595570582577,1.0640796084643724,1.1634128349042356,0.659067165838644
2.0,101.0,21998.0,1989.0,2.0,9.0,6.0,113.0,186.0,2.0,0.3875073465924935,0.04898088370388258,1110101.0,816998.0,87000.0,58500.0,0.23013205028903022,0.0,3.0,0.8491896225789042,0.5306875565651674,0.5859593421981538,0.6871201479591004,0.7216078338595217
0.0,114.0,30363.0,1982.0,3.0,10.0,7.0,123.0,206.0,0.0,-0.12518341822839035,0.305759423191608,1180499.0,895500.0,91999.0,64001.0,0.7933072067982185,0.0,1.0,0.8532796380191691,1.0043442421960374,0.40208781597295196,0.4765893734194085,0.36780015291773943
18.0,142.0,15561.0,1976.0,0.0,9.0,25.0,148.0,119.0,0.0,0.0026221083984918694,-0.12863814821255246,297655.0,530148.0,24275.0,31063.0,0.9031565339304518,0.35107128406429555,2.0,3.0,0.8234919061534318,2.0,0.0,0.43774820689680227
27.0,158.0,27645.0,1978.0,3.0,10.0,33.0,164.0,238.0,2.0,0.25657300134862393,0.46280004901004007,487750.0,570816.0,40414.0,45266.0,0.5648177786719506,0.6427505499558004,0.0,2.0,0.5783646582708318,2.0,1.0,0.5047584637186975
24.0,102.0,18585.0,1984.0,5.0,9.0,20.0,122.2475123068255,232.0,1.0,0.07800986278546525,0.1382746979706536,733081.0,511766.0,59587.0,41169.0,0.6560680910620514,0.28279498644646905,0.1999285695588787,2.0,0.9071301244471796,0.0,2.0,0.729462414837961
27.0,144.0,17499.0,1982.0,5.0,6.0,20.0,153.0,129.0,0.0,0.32163602935831903,0.1348692614682429,520000.0,568001.0,42002.0,43999.0,0.6103056649625568,0.16357699166172235,0.6694894502265694,0.0,2.0,0.0,2.0,1.0938563735347369
30.0,117.0,10055.0,1991.0,3.0,3.0,5.0,134.0,284.0,1.0,-0.08838781942935853,0.49989589825526204,469824.0,433179.0,37162.0,32192.0,0.3733201231446728,0.5667025017112679,0.43891032340462116,0.698581507098065,0.9125882772765189,0.9963063084096474,1.109471732210309,0.562280932256357
0.0,97.0,21999.0,1990.0,1.0,10.0,6.0,112.0,187.0,0.0,0.350893255790103,-0.21888553659051085,1110101.0,817000.0,87002.0,58500.0,0.16619349695252328,0.0,0.0,0.8656038170309411,0.5734335149114054,0.560428439211528,0.43831903862627797,0.3582729092128504
1.0,113.0,30364.0,1985.0,2.0,6.0,8.0,125.0,208.0,0.0,0.049348531887767666,0.12783072444637056,1180499.0,895500.0,92001.0,63998.0,0.7344765596119432,0.0,0.0,0.7460615376055304,0.7448018434165561,0.6746386294520086,0.7465918403365692,0.5452928920753071
21.0,141.0,15562.0,1976.0,4.0,6.0,27.0,145.0,118.0,0.0,0.08733112711774446,0.13150444869047148,297655.0,530147.0,24278.0,31066.0,0.7144274220871917,0.6316194304925267,3.0,3.0,0.6432199029546442,0.0,2.0,0.6978424043433559
27.0,154.0,27649.0,1980.0,4.0,8.0,31.0,168.0,242.0,0.0,-0.07125285282573504,0.1490786156090303,487749.0,570818.0,40414.0,45264.0,0.5719325122594017,0.5770860964372736,1.0,1.0,0.6821157890069036,0.0,2.0,0.3244090706634243
28.0,101.0,18582.0,1981.0,1.0,10.0,18.0,122.78020476018439,228.0,2.0,0.012353163757371458,-0.11437983088632328,733082.0,511764.0,59588.0,41172.0,0.16436860299684242,0.5203361197150127,0.5079412257980163,0.0,0.9214639171943125,2.0,0.0,0.7067567032407784
27.0,145.0,17499.0,1983.0,4.0,9.0,18.0,154.0,130.0,1.0,0.16351777654516603,0.1948490512625498,520002.0,568002.0,41998.0,44002.0,0.5524364744145656,0.4947034262982003,0.5393669519447143,0.0,0.0,2.0,1.0,0.5083923045918339
28.0,116.0,10055.0,1994.0,0.0,3.0,4.0,137.0,284.0,0.0,-0.08687954191094666,-0.1617302472877234,469822.0,433177.0,37160.0,32190.0,0.3383117888066112,0.3380127347550477,0.7274784294881071,0.8477807971271066,0.9472582434853154,0.8290755523351963,1.0180123282233573,0.4568210413512346
3.0,101.0,22000.0,1988.0,3.0,9.0,6.0,114.0,186.0,3.0,0.38577746833735765,-0.11108242112475175,1110101.0,816998.0,87000.0,58502.0,0.46447538729659105,0.0,0.0,0.6979251339671659,0.7132539098821918,0.5828444942274393,0.8306053775532884,0.4884056670323084
4.0,114.0,30362.0,1982.0,0.0,6.0,7.0,124.0,207.0,0.0,0.58410512214426,0.16677623383463958,1180498.0,895501.0,92002.0,63998.0,0.44635171003258867,0.0,3.0,0.36042370925084927,0.9284828162144998,0.2726606822394164,0.44633673664374207,0.6702479179043311
22.0,141.0,15559.0,1976.0,2.0,8.0,28.0,149.0,118.0,0.0,0.07289476564747896,-0.08986291124898996,297656.0,530149.0,24275.0,31064.0,0.7914309037089234,0.3504294592930724,0.0,0.0,0.9380426011813444,0.0,2.0,0.9586998658431543
27.0,154.0,27646.0,1979.0,4.0,7.0,30.0,165.0,239.0,1.0,0.2605540283116612,-0.2606456043853981,487751.0,570816.0,40416.0,45267.0,0.5393142683401982,0.6901227082935835,1.0,0.0,0.5780908700221881,1.0,0.0,0.4438546268464918
25.0,101.0,18582.0,1984.0,1.0,6.0,22.0,122.06724014978747,230.0,2.0,-0.01329692970447685,-0.3558751214951993,733080.0,511764.0,59590.0,41168.0,0.5357025172397504,0.49871847588262264,0.359000103813739,1.0,1.0466192555885814,1.0,0.0,0.9140860626606331
29.0,145.0,17501.0,1985.0,5.0,7.0,19.0,155.0,128.0,0.0,-0.1720760381668729,0.2681011671894511,520000.0,568002.0,42001.0,44000.0,0.7778561653071917,0.5614820810843442,1.136073642912071,2.0,2.0,3.0,1.0,0.5487569144972153
27.0,117.0,10053.0,1991.0,0.0,2.0,6.0,134.0,284.0,2.0,-0.2489214407077352,0.40923335221582796,469821.0,433179.0,37160.0,32193.0,0.5246269074379581,0.16895400500704788,0.8801957666563673,0.8084524524685365,1.1373026938627047,1.1634842316670735,0.6032614109352681,0.4110303447295012
1.0,100.0,21998.0,1990.0,1.0,8.0,9.0,116.0,187.0,0.0,0.6851594883182182,0.1430662118444842,1110101.0,817002.0,87000.0,58500.0,0.28220594926515863,1.0,0.0,0.78476834468617,0.6468347251051166,0.4751741919145325,0.44859092669514483,0.22280598326087908
2.0,110.0,30366.0,1981.0,0.0,6.0,7.0,121.0,208.0,1.0,0.25053499316376043,-0.16029287366126102,1180501.0,895502.0,92002.0,64001.0,0.9485812706807613,2.0,2.0,0.96249625422399,0.5847613234954239,0.26846799531891696,0.3454108483769479,0.6429644003398917
20.0,142.0,15563.0,1977.0,0.0,10.0,28.0,145.0,120.0,1.0,-0.35102806911211404,-0.0009871039293827336,297655.0,530150.0,24277.0,31062.0,0.7621157571243093,0.0396322678280735,0.0,1.0,0.6800507167967584,0.0,0.0,0.9050581598703216
26.0,158.0,27648.0,1982.0,3.0,9.0,33.0,164.0,240.0,0.0,-0.03609300614707015,-0.18853776232166272,487750.0,570819.0,40417.0,45264.0,0.772144866948455,0.8547412647524808,2.0,0.0,0.544219468457054,2.0,1.0,0.33917553115082144
24.0,105.0,18584.0,1983.0,4.0,9.0,21.0,122.4744432818589,232.0,0.0,0.04592718032666093,0.12166865899289658,733081.0,511765.0,59588.0,41172.0,0.39492667965583517,0.3621125217567749,0.2597262530093676,3.0,0.9296648696957559,0.0,1.0,0.9463418395572057
25.0,142.0,17499.0,1983.0,5.0,9.0,18.0,156.0,129.0,0.0,0.02744953181374954,0.6009924686178626,520002.0,568001.0,42001.0,43998.0,0.7348156249663493,0.23529100672778994,0.5884174656246722,0.0,3.0,0.0,0.0,0.6085415959284932
29.0,117.0,10052.0,1992.0,0.0,6.0,3.0,137.0,284.0,0.0,-0.03589261962088594,-0.08789351388962914,469822.0,433180.0,37160.0,32189.0,0.2539314448774165,0.15329785083076672,0.6799249045455119,0.7199286712900556,0.7358472786911459,0.8358366586507446,0.8447176661769364,0.8789015548706269
2.0,100.0,22002.0,1986.0,3.0,8.0,8.0,116.0,185.0,2.0,0.36952579320228013,0.10759578384789359,1110102.0,816999.0,87002.0,58501.0,0.3121408948345409,0.0,0.0,0.7183507593279511,0.8138998616967797,0.5792340429622105,0.8409533356172199,0.8388470343179828
2.0,110.0,30363.0,1985.0,3.0,8.0,8.0,121.0,206.0,1.0,0.32931742870493613,-0.15534504869042845,1180502.0,895500.0,91999.0,63998.0,0.7241420114871726,2.0,0.0,0.4579083401400648,0.7014768782562077,0.7924579482594039,0.20103292248066462,0.6351224292583596
18.0,143.0,15561.0,1978.0,3.0,10.0,24.0,147.0,122.0,0.0,0.15446839000721407,0.11871623450469536,297654.0,530147.0,24276.0,31065.0,0.8024625601753417,0.28835967733410295,0.0,2.0,0.8801962298626255,0.0,3.0,0.6432041656710492
27.0,154.0,27648.0,1982.0,2.0,8.0,31.0,166.0,239.0,2.0,0.1251151342360349,0.039059161171219436,487749.0,570816.0,40417.0,45267.0,0.7029558181441915,0.5059650482561538,3.0,2.0,0.6490294585725325,0.0,1.0,0.6862695959175922
24.0,103.0,18582.0,1983.0,4.0,7.0,20.0,122.46479331062012,231.0,0.0,0.014727016089947642,-0.15620321263157264,733084.0,511767.0,59586.0,41170.0,0.35300742973684873,0.4926140012138761,0.006499155177487004,1.0,1.1897235328154991,2.0,2.0,0.5060209411659512
26.0,146.0,17499.0,1984.0,5.0,7.0,21.0,155.0,130.0,0.0,0.17939087594227007,0.10227693017923473,519999.0,568001.0,41999.0,44001.0,0.02052165457248245,0.22938924550044854,0.5741587024786705,3.0,2.0,1.0,3.0,1.0081637760472728
30.0,115.0,10052.0,1995.0,0.0,4.0,4.0,135.0,282.0,1.0,0.08710026349207661,0.24193085754484833,469825.0,433180.0,37163.0,32191.0,0.25590858198368444,0.31358013297983184,0.7459382876035677,1.0627634042053185,0.7118984241988144,0.6186545553768137,0.8179917652841344,0.7131648877130661
